id_comentario,classificacao,comentario,categoria_anotador_1,categoria_anotador_2
1,promotor,Tornar os combos e promoções mais frequentes e acessíveis; no atendimento obter mais divulgação das promoções e novidades,,
2,detrator,"muita fila na loja do Portal, tem um monte de funcionário, mas só deixa um no caixa. O preço da carne aumentou muito, não está mais tendo diferença da fresca para a congelada, estou quase desistindo de comprar de vocês.",,
3,neutro,"mais carnes diferentes, avestruz, rã, javali, tipo assim",,
4,promotor,Poderia aceitar vale alimentação como forma de pagamento no site e no aplicativo.,,
5,promotor,O produto é bom. As funcionárias atendem com muita simpatia e conhecimento,,
6,promotor,O preço melhora só qd se compra 2ou mais produtos da mesma espécie.,,
7,promotor,Fui atendida pela Janaína um atendimento maravilhoso me tirou todas as dúvidas,,
8,promotor,Para mim está ótimo,,
9,promotor,Melhorar preços e promoções,,
10,promotor,"Fui muito bem atendido pelo Hudney. Profissionais atenciosos, educados e gentis. Produtos de boa qualidade",,
11,promotor,Poderia ter outros refrigerantes de 2 litros alem de so coca cola,,
12,promotor,Ter promoção de entrega grátis.,,
13,promotor,Tá top de linha,,
14,promotor,Colocar mais variedade de produtos para vegetarianos.,,
15,promotor,está tudo ótimo,,
16,promotor,Sempre o melhor atendimento e sortimento na loja .pra mim não a necessidade de melhoria em nada,,
17,promotor,"Mais ofertas ; qto maior a quantidade, menor o preço.",,
18,promotor,Fazendo promoções !,,
19,promotor,"Podem melhorar com algum programa de fidelidade, como faço compra todo mês na loja swift seria legal ter um desconto para continuar leal a marca",,
20,promotor,mais variedades de marmita ????,,
21,promotor,Continuuem assim! Swift é 10,,
22,detrator,"Péssimo atendimento ! No passado , o atendimento era ótimo . Fazia tempo que eu não frequentava essa loja e NÃO VOLTAREI ! Funcionárias despreparadas , inclusive as moças do caixa ??‍♀️",,
23,promotor,Está ótimo. Espero que se mantenham assim.,,
24,promotor,Mais descontos nos produtos.,,
25,promotor,Eu amo essa loja rapidez e Organizada Segurança educado,,
26,promotor,Convencer aos Frigoríficos a venderem mais para o próprio país e baixarem os preços. Além de ajudarem a derrubar este Governo CorruPTo que está sabotando o país para o Narcotrafico da Ordem dos Assassinos do Islã e Comunistas. Assim podemos comprar mais carne!,,
27,promotor,Perfeito como sempre!,,
28,promotor,Espaço se tornou pequeno.,,
29,promotor,Não indo embora de Jundiaí,,
30,promotor,Funcionários com mais disponibilidade,,
31,detrator,"Qualidade nos produtos. O nível de produtos químicos nocivos nos produtos da Swift são exagerados e prejudiciais. A loja de Bauru tem um péssimo atendimento e má vontade no abastecimento, deixando as prateleiras e balcões vazios.",,
32,detrator,"Faltando alguns produtos que costumo comprar, mas o que mais me incomodou foi o atendimento do caixa. Sou deficiente auditiva unilateral e as vezes preciso perguntar mais de uma vez o que a pessoa falou para compreender e o caixa foi muito antipático comigo. Talvez não estivesse em um bom dia, mas o cliente não tem culpa. Fui ao Mercado Sadia ao lado e fui super bem tratada.",,
33,promotor,"Ótimo atendimento, parabéns a todos ?????? PS Tomas",,
34,promotor,"Excelência em atendimento, gostei muito!!!",,
35,promotor,Oferecer mais legumes prontos,,
36,promotor,"Procurei peito de peru, e não encontrei. Não sei se vocês não trabalham com essa mercadoria, ou se estava em falta. Se puderem me informem isso por favor.",,
37,promotor,"Mais promoção,parabéns pela educação dos seus dicionários,essa loja é excelente.",,
38,promotor,Tive um ótimo atendimento,,
39,promotor,Manter... principalmente as promoções,,
40,promotor,"Reposição de produtos muito tumultuado, som ambiente parece uma discoteca, a preferência parece que dos repositores e isso aí.",,
41,promotor,"Mantendo a qualidade dos produtos Swift. Eu comprei uma picanha (Combo) que me fez passar vergonha. Não havia a da marca Swift. E isso me induziu a testar outra abaixo da qualidade. Preço é bom, mas qualidade é melhor.",,
42,promotor,Equilibrar mais os preços.,,
43,neutro,Pois é!! Em poucos ofertas e ainda está muito caros!!,,
44,neutro,Comprei um pack de espetinho de churrasco. Tinha mais bacon do que carne. Me senti enganado.,,
45,promotor,"Faltou coxa e sobrecoxa dessossada Seara, é muito prática e fácil vde fazer.. Comprei a sobrecoxa da Swift e me surpreendeu, parabéns.",,
46,promotor,Mando. Um brinde com alegria,,
47,neutro,Melhores produtos,,
48,neutro,"Um parâmetro é a comparação, portanto acho que vocês deveriam entregar a carne ao consumidor mais limpa , em açougue normais ela.é entregue limpa ! O preço de vocês não cabe ter que abrir a embalagem, e limpar ...fora a perda que é grande !",,
49,promotor,Cupom de desconto,,
50,promotor,Mais promoções,,
51,promotor,"Em dias de grandes movimentos ou datas específicas como dia dos Pais é necessário um maior número de caixas, ou um caixa expresso.",,
52,promotor,Cupom de desconto para clientes recorrentes!,,
53,detrator,"Qualidade do contrafilé muito ruim, cheio de nervos. Muito ruim. Me senti enganado. Nunca mais....",,
54,promotor,Ter mais produtos,,
55,promotor,Continuando a dar os descontos que vocês estão dando. Estão no caminho certo,,
56,promotor,melhorando frete,,
57,promotor,Os molhos para almôndegas não encontro mais na loja. Uma pena. O bolonhesa é o melhor.,,
58,promotor,"atendido pela funcionária thamyres, atendimento muito bom. rápido e prático!!!",,
59,promotor,"Atendimento impecável, nada para ser melhorado!",,
60,promotor,Excelente,,
61,promotor,Repondo mercadoria,,
62,promotor,"Olá Meu pedido chegou certinho , porém fora do prazo previsto. Outra observação não consegui finalizar o pedido no aplicativo,sempre que tentava fazer o pagamento dava erro . Fiz o pedido pelo WhatsApp. Recomendo pois é uma praticidade receber esses produtos em casa .(Pode melhorar)",,
63,neutro,"Das coisas que procurei, só ficou faltando encontrar frutas congeladas, que tem um preço excelente e ajudam muito no dia-a-dia!",,
64,detrator,Produtos com água,,
65,neutro,Basta manter o padrão e fazer mais promoções. Nos frutos do mar poderia ter mais opções,,
66,promotor,Preços razoáveis,,
